Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ee2cf0                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter @ 0x22ee7a88                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$EnumConverter @ 0x22ee87c0                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter @ 0x22eea5b0                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter @ 0x22eea5c8                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter @ 0x22eea5e0                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$EnumConverter @ 0x22eea5f8                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
sun.management.RuntimeImpl @ 0x22ef2680                                                                                                                                                                                                                                                           |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef29d8                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef29f0                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef2a48                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef2aa0                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef2ab8                                                                                                                                                                                                                              |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef2be8                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef2cc8  FreePhysicalMemorySize                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3118  CollectionUsageThresholdSupported                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3130  UsageThresholdExceeded                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3148  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3160  Uptime                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3178  InputArguments                                                                                                                                                                                                                                                     |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3190  VmVersion                                                                                                                                                                                                                                                          |           24 |            24 |      0.00%
java.lang.String @ 0x22ef31a8  LibraryPath                                                                                                                                                                                                                                                        |           24 |            24 |      0.00%
java.lang.String @ 0x22ef31c0  CurrentThreadCpuTime                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef31d8  CurrentThreadCpuTimeSupported                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef31f0  ThreadCount                                                                                                                                                                                                                                                        |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3208  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3220  CompilationTimeMonitoringSupported                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3238  TotalCompilationTime                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3250  Arch                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3268  FreeSwapSpaceSize                                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter @ 0x22ef3280                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3298  CommittedVirtualMemorySize                                                                                                                                                                                                                                         |           24 |            24 |      0.00%
java.lang.String @ 0x22ef32b0  CollectionCount                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef32c8  DiagnosticOptions                                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22ef32e0  CollectionUsageThresholdExceeded                                                                                                                                                                                                                                   |           24 |            24 |      0.00%
java.lang.String @ 0x22ef32f8  CollectionUsageThresholdCount                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3310  PeakUsage                                                                                                                                                                                                                                                          |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3328  Type                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3340  Usage                                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3358  UsageThresholdCount                                                                                                                                                                                                                                                |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3370  UsageThreshold                                                                                                                                                                                                                                                     |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3388  UsageThresholdSupported                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef33a0  MemoryManagerNames                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef33b8  CollectionUsage                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef33d0  Valid                                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef33e8  CollectionUsageThreshold                                                                                                                                                                                                                                           |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3400  ManagementSpecVersion                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3418  SystemProperties                                                                                                                                                                                                                                                   |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3430  VmName                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3448  BootClassPathSupported                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3460  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3478  SpecVendor                                                                                                                                                                                                                                                         |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3490  SpecName                                                                                                                                                                                                                                                           |           24 |            24 |      0.00%
java.lang.String @ 0x22ef34a8  BootClassPath                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef34c0  SpecVersion                                                                                                                                                                                                                                                        |           24 |            24 |      0.00%
java.lang.String @ 0x22ef34d8  StartTime                                                                                                                                                                                                                                                          |           24 |            24 |      0.00%
java.lang.String @ 0x22ef34f0  VmVendor                                                                                                                                                                                                                                                           |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3508  ClassPath                                                                                                                                                                                                                                                          |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3520  Verbose                                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3538  LoadedClassCount                                                                                                                                                                                                                                                   |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3550  UnloadedClassCount                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3568  TotalLoadedClassCount                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3580  ThreadContentionMonitoringSupported                                                                                                                                                                                                                                |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3598  SynchronizerUsageSupported                                                                                                                                                                                                                                         |           24 |            24 |      0.00%
java.lang.String @ 0x22ef35b0  ThreadCpuTimeEnabled                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef35c8  PeakThreadCount                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef35e0  DaemonThreadCount                                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22ef35f8  TotalStartedThreadCount                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3610  AllThreadIds                                                                                                                                                                                                                                                       |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3628  ThreadContentionMonitoringEnabled                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3640  ObjectMonitorUsageSupported                                                                                                                                                                                                                                        |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3658  CurrentThreadUserTime                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3670  ThreadCpuTimeSupported                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3688  Verbose                                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef36a0  ObjectPendingFinalizationCount                                                                                                                                                                                                                                     |           24 |            24 |      0.00%
java.lang.String @ 0x22ef36b8  NonHeapMemoryUsage                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef36d0  HeapMemoryUsage                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3760  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3778  MemoryPoolNames                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3790  Valid                                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef37a8  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef37c0  AvailableProcessors                                                                                                                                                                                                                                                |           24 |            24 |      0.00%
java.lang.String @ 0x22ef37d8  SystemLoadAverage                                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22ef37f0  TotalPhysicalMemorySize                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3808  TotalSwapSpaceSize                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3820  Version                                                                                                                                                                                                                                                            |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3838  ProcessCpuTime                                                                                                                                                                                                                                                     |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3850  Name                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3868  LastGcInfo                                                                                                                                                                                                                                                         |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3880  MemoryPoolNames                                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22ef3898  Valid                                                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef38b0  CollectionTime                                                                                                                                                                                                                                                     |           24 |            24 |      0.00%
java.lang.String @ 0x22ef38c8  LoggerNames                                                                                                                                                                                                                                                        |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4330  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4348  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4360  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4378  com.sun.management.GarbageCollectorMXBean                                                                                                                                                                                                                          |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4390  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef44a8  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef44c0  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef44d8  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef44f0  java.lang.management.CompilationMXBean                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4508  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4758  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4770  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22ef4788  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22ef47a0  java.lang.management.MemoryPoolMXBean                                                                                                                                                                                                                              |           24 |            24 |      0.00%
java.lang.String @ 0x22ef47b8  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efd070  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efd088  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efd0a0  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22efd0d0  java.lang.management.ThreadMXBean                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22efd0e8  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efd100  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efd118  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efd130  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22efd160  java.lang.management.MemoryMXBean                                                                                                                                                                                                                                  |           24 |            24 |      0.00%
java.lang.String @ 0x22efd178  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efd190  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efd1a8  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efd1c0  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22efd1f0  java.util.logging.LoggingMXBean                                                                                                                                                                                                                                    |           24 |            24 |      0.00%
java.lang.String @ 0x22efd208  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efd2a0  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efd2b8  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efd2d0  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22efd300  com.sun.management.HotSpotDiagnosticMXBean                                                                                                                                                                                                                         |           24 |            24 |      0.00%
java.lang.String @ 0x22efd318  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efec50  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efec68  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efec80  mxbean                                                                                                                                                                                                                                                             |           24 |            24 |      0.00%
java.lang.String @ 0x22efecb0  java.lang.management.RuntimeMXBean                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
java.lang.String @ 0x22efecc8  true                                                                                                                                                                                                                                                               |           24 |            24 |      0.00%
java.lang.String @ 0x22efed28  immutableInfo                                                                                                                                                                                                                                                      |           24 |            24 |      0.00%
java.lang.String @ 0x22efed40  interfaceClassName                                                                                                                                                                                                                                                 |           24 |            24 |      0.00%
