Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
sun.font.TrueTypeFont @ 0x22ed35e0                                                                                                                                                                                                                                                                |          136 |           832 |      0.09%
class sun.font.TrueTypeFont @ 0x2b755c18                                                                                                                                                                                                                                                          |          160 |           816 |      0.09%
com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter @ 0x22eeaf28                                                                                                                                                                                                                             |           40 |           808 |      0.09%
class java.awt.event.KeyEvent @ 0x2b752438                                                                                                                                                                                                                                                        |          808 |           808 |      0.09%
class sun.java2d.SurfaceData @ 0x2b752a38                                                                                                                                                                                                                                                         |          160 |           800 |      0.09%
java.lang.reflect.Method @ 0x22f03d20                                                                                                                                                                                                                                                             |           80 |           792 |      0.08%
java.lang.reflect.Method @ 0x22f03cd0                                                                                                                                                                                                                                                             |           80 |           784 |      0.08%
class java.text.DateFormat$Field @ 0x2b76f478                                                                                                                                                                                                                                                     |           88 |           784 |      0.08%
class java.rmi.server.ObjID @ 0x26ab62a8                                                                                                                                                                                                                                                          |           32 |           776 |      0.08%
java.util.logging.LogManager$RootLogger @ 0x22ea4bb8                                                                                                                                                                                                                                              |           64 |           760 |      0.08%
java.lang.ref.WeakReference @ 0x22ea5e30                                                                                                                                                                                                                                                          |           24 |           728 |      0.08%
com.sun.jmx.remote.internal.ServerNotifForwarder @ 0x22f28d40                                                                                                                                                                                                                                     |           48 |           720 |      0.08%
class javax.management.ObjectName @ 0x269dc7c0                                                                                                                                                                                                                                                    |           48 |           720 |      0.08%
class sun.swing.SwingUtilities2 @ 0x2b75a478                                                                                                                                                                                                                                                      |           72 |           720 |      0.08%
char[335] @ 0x22ea47a0  C:\Program Files\Java\jre1.6.0_07\lib\resources.jar;C:\Program Files\Java\jre1.6.0_07\lib\rt.jar;C:\Program Files\Java\jre1.6.0_07\lib\sunrsasign.jar;C:\Program Files\Java\jre1.6.0_07\lib\jsse.jar;C:\Program Files\Java\jre1.6.0_07\lib\jce.jar;C:\Program Fi...       |          688 |           688 |      0.07%
class sun.rmi.registry.RegistryImpl_Stub @ 0x26b480f0                                                                                                                                                                                                                                             |           16 |           688 |      0.07%
class java.lang.ApplicationShutdownHooks @ 0x2b74c3e0                                                                                                                                                                                                                                             |            8 |           680 |      0.07%
class java.awt.Container @ 0x2b74e900                                                                                                                                                                                                                                                             |           24 |           680 |      0.07%
